service_name,service_key,amount_key,g2_id,g2_name,g2_price_raw,za3em_id,za3em_name,za3em_price_raw,cheaper_provider,price_diff_abs,match_confidence,g2_source,za3em_source,g2_variant,za3em_variant
Razer,razer,10,33,Razer Gold 10$ Global,9.3,3800,10$ RAZER عالمي,9.486,g2bulk,0.186,0.4,gift,package,usd,usd
Razer,razer,20,34,Razer Gold 20$ Global,18.6,3801,20$ RAZER عالمي,18.972,g2bulk,0.372,0.4,gift,package,usd,usd
Razer,razer,50,35,Razer Gold 50$ Global,46.5,3802,50$ RAZER عالمي,47.43,g2bulk,0.93,0.4,gift,package,usd,usd
Razer,razer,100,36,Razer Gold 100$ Global,93.0,3803,100$ RAZER عالمي,94.861579,g2bulk,1.861579,0.4,gift,package,usd,usd
Roblox,roblox,10,80,Roblox 10$ US,9.15,7620,USA 10$ روبلوكس,9.492491,g2bulk,0.342491,0.2,gift,package,usd,usd
Roblox,roblox,25,81,Roblox 25$ US,22.875,7623,USA 25$ روبلوكس,23.731233,g2bulk,0.856233,0.2,gift,package,usd,usd
Roblox,roblox,50,82,Roblox 50$ US,45.75,7624,USA 50$ روبلوكس,47.462467,g2bulk,1.712467,0.2,gift,package,usd,usd
Steam,steam,5,102,Steam Global 5 USD,5.2,8234,Steam Global 5$,5.460194,g2bulk,0.260194,0.4,gift,package,usd,usd
Steam,steam,10,103,Steam Global 10 USD,10.4,8235,Steam Global 10$,10.920194,g2bulk,0.520194,0.4,gift,package,usd,usd
Steam,steam,20,104,Steam Global 20 USD,20.8,8236,Steam Global 20$,21.630194,g2bulk,0.830194,0.4,gift,package,usd,usd
Steam,steam,25,105,Steam Global 25 USD,26.0,8239,Steam Global 25$,27.03769,g2bulk,1.03769,0.4,gift,package,usd,usd
Steam,steam,50,168,Steam Global 50 USD,51.5,8237,Steam Global 50$,54.590196,g2bulk,3.090196,0.4,gift,package,usd,usd
Steam,steam,100,106,Steam Global 100 USD,104.0,8238,Steam Global 100$,109.180196,g2bulk,5.180196,0.4,gift,package,usd,usd
Yalla Ludo,yalla_ludo,2320,787,2320 Diamonds,4.661,7013,2320 Ludo Diamonds,4.724375,g2bulk,0.063375,0.6667,game,package,generic,generic
Yalla Ludo,yalla_ludo,5150,3176,5150 Diamonds,9.333,7014,5150 Ludo Diamonds,9.448739,g2bulk,0.115739,0.6667,game,package,generic,generic
Yalla Ludo,yalla_ludo,13580,3177,13580 Diamonds,23.317,7015,13580 Ludo Diamonds,23.621854,g2bulk,0.304854,0.6667,game,package,generic,generic
Yalla Ludo,yalla_ludo,55800,3194,55800 Diamonds,93.279,8155,Ludo Diamonds 55800,90.990101,za3em,2.288899,0.6667,game,package,generic,generic
iTunes,itunes,2,12,Itunes 2$ US,1.89,4874,ITUNES 2$,1.9278,g2bulk,0.0378,0.6667,gift,package,usd,usd
iTunes,itunes,4,71,Itunes 4$ US,3.78,4875,ITUNES 4$,3.8556,g2bulk,0.0756,0.6667,gift,package,usd,usd
iTunes,itunes,5,13,Itunes 5$ US,4.725,4876,ITUNES 5$,4.743,g2bulk,0.018,0.6667,gift,package,usd,usd
iTunes,itunes,10,14,Itunes 10$ US,9.45,4877,ITUNES 10$,9.486,g2bulk,0.036,0.6667,gift,package,usd,usd
iTunes,itunes,20,16,Itunes 20$ US,18.8,4879,ITUNES 20$,18.972,g2bulk,0.172,0.6667,gift,package,usd,usd
iTunes,itunes,50,20,Itunes 50$ US,47.0,4881,ITUNES 50$,47.43,g2bulk,0.43,0.6667,gift,package,usd,usd
iTunes,itunes,60,21,Itunes 60$ US,56.7,4911,ITUNES 60$,57.834,g2bulk,1.134,0.6667,gift,package,usd,usd
iTunes,itunes,100,23,Itunes 100$ US,94.5,4913,ITUNES 100$,96.39,g2bulk,1.89,0.6667,gift,package,usd,usd
