product_key,category,priority,display_name,region_policy,default_duration,unit_kind,preferred_provider,sourcing_policy,g2bulk_hint,bittopup_slug,g2g_search_query,public_note,active
internet_bills,syrian_services,priority_3_syrian_services,Internet Bills,syria,,bill,external,on_demand,,,Internet bill payment,Manual source needed,true
bank_transfers,syrian_services,priority_3_syrian_services,Bank Transfers,syria,,transfer,external,on_demand,,,Bank transfer,Manual source needed,true
smart_touch,syrian_services,priority_3_syrian_services,Smart Touch,syria,,service,external,on_demand,,,Smart Touch,Manual source needed,true
satellite_internet,syrian_services,priority_3_syrian_services,Satellite Internet,syria,,subscription,external,on_demand,,,Satellite internet,Manual source needed,true
passport_booking,syrian_services,priority_3_syrian_services,Passport Booking,syria,,booking,external,on_demand,,,Passport booking,Manual source needed,true
electricity_bills,syrian_services,priority_3_syrian_services,Electricity Bills,syria,,bill,external,on_demand,,,Electricity bill payment,Manual source needed,true
ecsc_bills,syrian_services,priority_3_syrian_services,ECSC Bills,syria,,bill,external,on_demand,,,ECSC bill payment,Manual source needed,true
yalla_go,syrian_services,priority_3_syrian_services,Yalla Go,syria,,ride,external,on_demand,,,Yalla Go,Manual source needed,true
raken,syrian_services,priority_3_syrian_services,Raken,syria,,ride,external,on_demand,,,Raken,Manual source needed,true
chimera_tool,software_tools,priority_3_software_tools,Chimera Tool,global,,license,external,on_demand,,,Chimera Tool,Manual source needed,true
dft_pro_tools,software_tools,priority_3_software_tools,DFT Pro Tools,global,,license,external,on_demand,,,DFT Pro Tools,Manual source needed,true
borneo_schematics,software_tools,priority_3_software_tools,Borneo Schematics,global,,license,external,on_demand,,,Borneo Schematics,Manual source needed,true
eft_pro,software_tools,priority_3_software_tools,EFT Pro,global,,license,external,on_demand,,,EFT Pro,Manual source needed,true
tsm_tool,software_tools,priority_3_software_tools,TSM Tool,global,,license,external,on_demand,,,TSM Tool,Manual source needed,true
unlocktool,software_tools,priority_3_software_tools,UnlockTool,global,,license,external,on_demand,,,UnlockTool,Manual source needed,true
z3x_team,software_tools,priority_3_software_tools,Z3X Team,global,,license,external,on_demand,,,Z3X Team,Manual source needed,true
auto_reply,services,priority_3_services,Auto Reply,global,,service,external,on_demand,,,Auto reply service,Manual source needed,true
arabstar,chat_apps,priority_1_chat_apps,Arabstar,global,,coin,external,on_demand,,,Arabstar,Manual source needed,true
kiyo_live,chat_apps,priority_1_chat_apps,Kiyo Live,global,,coin,external,on_demand,,,Kiyo Live,Manual source needed,true
waho_live,chat_apps,priority_1_chat_apps,Waho Live,global,,coin,external,on_demand,,,Waho Live,Manual source needed,true
yaahlan_chat,chat_apps,priority_1_chat_apps,Yaahlan Chat,global,,coin,external,on_demand,,,Yaahlan Chat,Manual source needed,true
yalla_live,chat_apps,priority_1_chat_apps,Yalla Live,global,,coin,external,on_demand,,,Yalla Live,Manual source needed,true
bella_chat,chat_apps,priority_1_chat_apps,Bella Chat,global,,coin,external,on_demand,,,Bella Chat,Manual source needed,true
yoho,chat_apps,priority_1_chat_apps,Yoho,global,,coin,external,on_demand,,,Yoho,Manual source needed,true
soulfa_chat,chat_apps,priority_1_chat_apps,Soulfa Chat,global,,coin,external,on_demand,,,Soulfa Chat,Manual source needed,true
haki_chat,chat_apps,priority_1_chat_apps,Haki Chat,global,,coin,external,on_demand,,,Haki Chat,Manual source needed,true
party_star,chat_apps,priority_1_chat_apps,Party Star,global,,coin,external,on_demand,,,Party Star,Manual source needed,true
habbey_chat,chat_apps,priority_1_chat_apps,Habbey Chat,global,,coin,external,on_demand,,,Habbey Chat,Manual source needed,true
super_live,chat_apps,priority_1_chat_apps,Super Live,global,,coin,external,on_demand,,,Super Live,Manual source needed,true
ayome_chat,chat_apps,priority_1_chat_apps,Ayome Chat,global,,coin,external,on_demand,,,Ayome Chat,Manual source needed,true
talk_talk,chat_apps,priority_1_chat_apps,Talk Talk,global,,coin,external,on_demand,,,Talk Talk,Manual source needed,true
ahlan_chat,chat_apps,priority_1_chat_apps,Ahlan Chat,global,,coin,external,on_demand,,,Ahlan Chat,Manual source needed,true
tami_live,chat_apps,priority_1_chat_apps,Tami Live,global,,coin,external,on_demand,,,Tami Live,Manual source needed,true
tada,chat_apps,priority_1_chat_apps,Tada,global,,coin,external,on_demand,,,Tada,Manual source needed,true
light_chat,chat_apps,priority_1_chat_apps,Light Chat,global,,coin,external,on_demand,,,Light Chat,Manual source needed,true
aswat_chat,chat_apps,priority_1_chat_apps,Aswat Chat,global,,coin,external,on_demand,,,Aswat Chat,Manual source needed,true
lami_chat,chat_apps,priority_1_chat_apps,Lami Chat,global,,coin,external,on_demand,,,Lami Chat,Manual source needed,true
higo_chat,chat_apps,priority_1_chat_apps,Higo Chat,global,,coin,external,on_demand,,,Higo Chat,Manual source needed,true
soyo,chat_apps,priority_1_chat_apps,Soyo,global,,coin,external,on_demand,,,Soyo,Manual source needed,true
layla_chat,chat_apps,priority_1_chat_apps,Layla Chat,global,,coin,external,on_demand,,,Layla Chat,Manual source needed,true
yooy_chat,chat_apps,priority_1_chat_apps,Yooy Chat,global,,coin,external,on_demand,,,Yooy Chat,Manual source needed,true
dimo,chat_apps,priority_1_chat_apps,Dimo,global,,coin,external,on_demand,,,Dimo,Manual source needed,true
mango_live,chat_apps,priority_1_chat_apps,Mango Live,global,,coin,external,on_demand,,,Mango Live,Manual source needed,true
olmet_chat,chat_apps,priority_1_chat_apps,Olmet Chat,global,,coin,external,on_demand,,,Olmet Chat,Manual source needed,true
lama_chat,chat_apps,priority_1_chat_apps,Lama Chat,global,,coin,external,on_demand,,,Lama Chat,Manual source needed,true
honey_jar_chat,chat_apps,priority_1_chat_apps,Honey Jar Chat,global,,coin,external,on_demand,,,Honey Jar Chat,Manual source needed,true
ligo_live,chat_apps,priority_1_chat_apps,Ligo Live,global,,coin,external,on_demand,,,Ligo Live,Manual source needed,true
soul_star,chat_apps,priority_1_chat_apps,Soul Star,global,,coin,external,on_demand,,,Soul Star,Manual source needed,true
hami_party,chat_apps,priority_1_chat_apps,Hami Party,global,,coin,external,on_demand,,,Hami Party,Manual source needed,true
hawa_chat,chat_apps,priority_1_chat_apps,HAWA Chat,global,,coin,external,on_demand,,,HAWA Chat,Manual source needed,true
so_match,chat_apps,priority_1_chat_apps,SO Match,global,,coin,external,on_demand,,,SO Match,Manual source needed,true
opa_live,chat_apps,priority_1_chat_apps,OPA Live,global,,coin,external,on_demand,,,OPA Live,Manual source needed,true
